"";"parent";"child";"factor"
"1";"Emissions|BC";"Emissions|BC|AFOLU";1
"2";"Emissions|BC";"Emissions|BC|Energy";1
"3";"Emissions|BC";"Emissions|BC|Industrial Processes";1
"4";"Emissions|BC";"Emissions|BC|Waste";1
"5";"Emissions|BC";"Emissions|BC|Capture and Removal";1
"6";"Emissions|BC";"Emissions|BC|Other";1
"7";"Emissions|C2F6";"Emissions|C2F6|AFOLU";1
"8";"Emissions|C2F6";"Emissions|C2F6|Energy";1
"9";"Emissions|C2F6";"Emissions|C2F6|Industrial Processes";1
"10";"Emissions|C2F6";"Emissions|C2F6|Waste";1
"11";"Emissions|C2F6";"Emissions|C2F6|Capture and Removal";1
"12";"Emissions|C2F6";"Emissions|C2F6|Other";1
"13";"Emissions|C6F14";"Emissions|C6F14|AFOLU";1
"14";"Emissions|C6F14";"Emissions|C6F14|Energy";1
"15";"Emissions|C6F14";"Emissions|C6F14|Industrial Processes";1
"16";"Emissions|C6F14";"Emissions|C6F14|Waste";1
"17";"Emissions|C6F14";"Emissions|C6F14|Capture and Removal";1
"18";"Emissions|C6F14";"Emissions|C6F14|Other";1
"19";"Emissions|CF4";"Emissions|CF4|AFOLU";1
"20";"Emissions|CF4";"Emissions|CF4|Energy";1
"21";"Emissions|CF4";"Emissions|CF4|Industrial Processes";1
"22";"Emissions|CF4";"Emissions|CF4|Waste";1
"23";"Emissions|CF4";"Emissions|CF4|Capture and Removal";1
"24";"Emissions|CF4";"Emissions|CF4|Other";1
"25";"Emissions|CFC";"Emissions|CFC|AFOLU";1
"26";"Emissions|CFC";"Emissions|CFC|Energy";1
"27";"Emissions|CFC";"Emissions|CFC|Industrial Processes";1
"28";"Emissions|CFC";"Emissions|CFC|Waste";1
"29";"Emissions|CFC";"Emissions|CFC|Capture and Removal";1
"30";"Emissions|CFC";"Emissions|CFC|Other";1
"31";"Emissions|CH4";"Emissions|CH4|AFOLU";1
"32";"Emissions|CH4";"Emissions|CH4|Energy";1
"33";"Emissions|CH4";"Emissions|CH4|Industrial Processes";1
"34";"Emissions|CH4";"Emissions|CH4|Waste";1
"35";"Emissions|CH4";"Emissions|CH4|Capture and Removal";1
"36";"Emissions|CH4";"Emissions|CH4|Other";1
"37";"Emissions|CH4|Energy and Industrial Processes";"Emissions|CH4|Energy";1
"38";"Emissions|CH4|Energy and Industrial Processes";"Emissions|CH4|Industrial Processes";1
"39";"Emissions|CO";"Emissions|CO|AFOLU";1
"40";"Emissions|CO";"Emissions|CO|Energy";1
"41";"Emissions|CO";"Emissions|CO|Industrial Processes";1
"42";"Emissions|CO";"Emissions|CO|Waste";1
"43";"Emissions|CO";"Emissions|CO|Capture and Removal";1
"44";"Emissions|CO";"Emissions|CO|Other";1
"45";"Emissions|CO2";"Emissions|CO2|AFOLU";1
"46";"Emissions|CO2";"Emissions|CO2|Energy";1
"47";"Emissions|CO2";"Emissions|CO2|Industrial Processes";1
"48";"Emissions|CO2";"Emissions|CO2|Waste";1
"49";"Emissions|CO2";"Emissions|CO2|Capture and Removal";1
"50";"Emissions|CO2";"Emissions|CO2|Other";1
"51";"Emissions|CO2|Energy and Industrial Processes";"Emissions|CO2|Energy";1
"52";"Emissions|CO2|Energy and Industrial Processes";"Emissions|CO2|Industrial Processes";1
"53";"Emissions|F-Gases";"Emissions|F-Gases|AFOLU";1
"54";"Emissions|F-Gases";"Emissions|F-Gases|Energy";1
"55";"Emissions|F-Gases";"Emissions|F-Gases|Industrial Processes";1
"56";"Emissions|F-Gases";"Emissions|F-Gases|Waste";1
"57";"Emissions|F-Gases";"Emissions|F-Gases|Capture and Removal";1
"58";"Emissions|F-Gases";"Emissions|F-Gases|Other";1
"59";"Emissions|HFC";"Emissions|HFC|AFOLU";1
"60";"Emissions|HFC";"Emissions|HFC|Energy";1
"61";"Emissions|HFC";"Emissions|HFC|Industrial Processes";1
"62";"Emissions|HFC";"Emissions|HFC|Waste";1
"63";"Emissions|HFC";"Emissions|HFC|Capture and Removal";1
"64";"Emissions|HFC";"Emissions|HFC|Other";1
"65";"Emissions|HFC|HFC125";"Emissions|HFC|HFC125|AFOLU";1
"66";"Emissions|HFC|HFC125";"Emissions|HFC|HFC125|Energy";1
"67";"Emissions|HFC|HFC125";"Emissions|HFC|HFC125|Industrial Processes";1
"68";"Emissions|HFC|HFC125";"Emissions|HFC|HFC125|Waste";1
"69";"Emissions|HFC|HFC125";"Emissions|HFC|HFC125|Capture and Removal";1
"70";"Emissions|HFC|HFC125";"Emissions|HFC|HFC125|Other";1
"71";"Emissions|HFC|HFC134a";"Emissions|HFC|HFC134a|AFOLU";1
"72";"Emissions|HFC|HFC134a";"Emissions|HFC|HFC134a|Energy";1
"73";"Emissions|HFC|HFC134a";"Emissions|HFC|HFC134a|Industrial Processes";1
"74";"Emissions|HFC|HFC134a";"Emissions|HFC|HFC134a|Waste";1
"75";"Emissions|HFC|HFC134a";"Emissions|HFC|HFC134a|Capture and Removal";1
"76";"Emissions|HFC|HFC134a";"Emissions|HFC|HFC134a|Other";1
"77";"Emissions|HFC|HFC143a";"Emissions|HFC|HFC143a|AFOLU";1
"78";"Emissions|HFC|HFC143a";"Emissions|HFC|HFC143a|Energy";1
"79";"Emissions|HFC|HFC143a";"Emissions|HFC|HFC143a|Industrial Processes";1
"80";"Emissions|HFC|HFC143a";"Emissions|HFC|HFC143a|Waste";1
"81";"Emissions|HFC|HFC143a";"Emissions|HFC|HFC143a|Capture and Removal";1
"82";"Emissions|HFC|HFC143a";"Emissions|HFC|HFC143a|Other";1
"83";"Emissions|HFC|HFC227ea";"Emissions|HFC|HFC227ea|AFOLU";1
"84";"Emissions|HFC|HFC227ea";"Emissions|HFC|HFC227ea|Energy";1
"85";"Emissions|HFC|HFC227ea";"Emissions|HFC|HFC227ea|Industrial Processes";1
